City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
tromso,75,Norway,1562384781,87,69.65,69.65,48.2,18.34
henties bay,0,Namibia,1562384781,95,-22.12,-22.12,48,9.62
luderitz,0,Namibia,1562384449,93,-26.65,-26.65,50,3.36
rundu,0,Namibia,1562384781,37,-17.91,-17.91,53.6,3.36
hithadhoo,96,Maldives,1562384459,71,-0.6,-0.6,83.93,8.81
kudahuvadhoo,100,Maldives,1562384782,69,2.67,2.67,83.93,4.7
viligili,,Maldives,,,,,,
hobyo,100,Somalia,1562384451,72,5.35,5.35,77.81,16.11
mogadishu,55,Somalia,1562384181,83,2.04,2.04,76.73,14.34
berbera,,Somalia,,,,,,
eyl,100,Somalia,1562384782,65,7.98,7.98,77.99,28.41
stornoway,,United Kingdom,,,,,,
brae,71,United Kingdom,1562384782,93,60.4,60.4,50,20.8
skegness,0,United Kingdom,1562384782,87,53.14,53.14,61,5.82
doctor pedro p. pena,,Paraguay,,,,,,
puerto ayora,67,Ecuador,1562384437,95,-0.74,-0.74,70,8.19
portovelo,100,Ecuador,1562384783,96,-3.72,-3.72,68.27,1.07
salinas,1,Ecuador,1562384438,77,36.67,36.67,70,11.41
san cristobal,0,Ecuador,1562384438,77,14.68,14.68,68.09,5.59
calatayud,0,Spain,1562384783,94,41.35,41.35,75.2,3.36
nijar,20,Spain,1562384783,83,36.97,36.97,75.2,4.7
naron,0,Spain,1562384783,100,43.52,43.52,64,2.24
medina del campo,0,Spain,1562384784,71,41.31,41.31,64.99,2.24
aguimes,20,Spain,1562384379,77,27.91,27.91,69.8,18.34
puerto del rosario,40,Spain,1562384784,73,28.5,28.5,71.6,16.11
hazorasp,0,Uzbekistan,1562384784,45,41.32,41.32,82.4,11.41
romitan,0,Uzbekistan,1562384784,37,39.93,39.93,84.2,6.93
kitob,0,Uzbekistan,1562384784,34,39.12,39.12,80.6,9.17
avarua,0,Cook Islands,1562384527,60,-21.21,-21.21,73.4,17.22
longyearbyen,40,Svalbard and Jan Mayen,1562384342,66,78.22,78.22,55.4,13.87
barentsburg,,Svalbard and Jan Mayen,,,,,,
padang,39,Indonesia,1562384323,75,-0.92,-0.92,81.77,7.14
panji,0,Indonesia,1562384785,48,32.78,32.78,92.03,11.7
bengkalis,,Indonesia,,,,,,
gorontalo,28,Indonesia,1562384785,70,0.54,0.54,83.21,10.42
sumbawa,,Indonesia,,,,,,
bengkulu,,Indonesia,,,,,,
waingapu,14,Indonesia,1562384323,57,-9.65,-9.65,77.81,17.65
merauke,100,Indonesia,1562384785,79,-8.49,-8.49,76.73,13.96
singaraja,14,Indonesia,1562384786,69,-8.11,-8.11,78.35,4.03
sungairaya,0,Indonesia,1562384786,77,0.7,0.7,83.03,8.77
palabuhanratu,,Indonesia,,,,,,
banda aceh,82,Indonesia,1562384786,70,5.56,5.56,83.39,4.18
tual,90,Indonesia,1562384323,80,-5.67,-5.67,78.17,15.75
pontianak,0,Indonesia,1562384786,79,-0.02,-0.02,81.05,4.68
meulaboh,100,Indonesia,1562384787,79,4.14,4.14,81.05,4.38
kendari,36,Indonesia,1562384787,64,-3.99,-3.99,80.33,3.98
sorong,99,Indonesia,1562384787,89,-0.86,-0.86,79.25,6.89
cockburn town,1,Turks and Caicos Islands,1562384787,77,21.46,21.46,82.67,23.02
lima,90,Peru,1562384639,88,-12.06,-12.06,62.6,11.41
torata,90,Peru,1562384787,33,-3.6,-3.6,89.6,2.24
pimentel,0,Peru,1562384339,96,-3.7,-3.7,72.05,2.46
acari,0,Peru,1562384788,70,-6.44,-6.44,74.39,6.08
chicama,75,Peru,1562384788,93,-7.84,-7.84,62.6,8.05
marcona,,Peru,,,,,,
pisco,90,Peru,1562384788,77,-13.71,-13.71,64.4,6.93
ambovombe,0,Madagascar,1562384788,77,-25.18,-25.18,70.61,7.99
taolanaro,,Madagascar,,,,,,
tsihombe,,Madagascar,,,,,,
beloha,0,Madagascar,1562384788,89,-25.17,-25.17,60.17,2.57
antalaha,12,Madagascar,1562384539,95,-14.9,-14.9,61.61,4.14
morondava,0,Madagascar,1562384789,74,-20.3,-20.3,70.97,5.19
sambava,8,Madagascar,1562384338,83,-14.27,-14.27,64.67,3.27
ambilobe,23,Madagascar,1562384789,72,-13.19,-13.19,70.25,6.24
monrovia,75,Liberia,1562384789,94,6.33,6.33,75.2,4.7
salalah,90,Oman,1562384789,94,17.01,17.01,82.4,3.36
sur,100,Oman,1562384789,43,22.57,22.57,92.57,3.38
seoul,1,"Korea, Republic of",1562384563,40,37.57,37.57,91.4,5.82
orgun,,Afghanistan,,,,,,
gat,40,Libyan Arab Jamahiriya,1562384790,78,14.69,14.69,75.2,4.7
waddan,0,Libyan Arab Jamahiriya,1562384790,53,29.16,29.16,73.13,5.61
marzuq,24,Libyan Arab Jamahiriya,1562384790,51,14.4,14.4,75.29,5.82
surt,0,Libyan Arab Jamahiriya,1562384790,76,31.21,31.21,76.91,1.43
awbari,0,Libyan Arab Jamahiriya,1562384790,18,26.59,26.59,80.15,6.96
phan thiet,13,Vietnam,1562384791,58,10.93,10.93,87.17,8.75
buon me thuot,,Vietnam,,,,,,
tay ninh,0,Vietnam,1562384791,72,11.3,11.3,84.83,5.59
ha tinh,100,Vietnam,1562384791,54,18.33,18.33,92.03,4.5
yen bai,100,Vietnam,1562384791,62,21.7,21.7,87.71,2.24
hoa binh,20,Vietnam,1562384550,66,20.81,20.81,91.4,2.24
petauke,0,Zambia,1562384791,61,-14.25,-14.25,54.77,1.16
bela,70,Pakistan,1562384792,69,26.23,26.23,81.23,3.51
dalbandin,0,Pakistan,1562384792,8,28.9,28.9,89.15,5.57
jauharabad,2,Pakistan,1562384792,25,32.29,32.29,97.07,7.54
chitral,1,Pakistan,1562384792,49,35.85,35.85,48.11,4.85
gwadar,100,Pakistan,1562384792,78,25.12,25.12,83.75,5.3
kohlu,0,Pakistan,1562384792,33,29.9,29.9,89.51,5.88
dedougou,99,Burkina Faso,1562384793,63,12.47,12.47,80.51,6.44
emba,0,Kazakstan,1562384793,68,34.81,34.81,73.4,6.93
inderborskiy,,Kazakstan,,,,,,
zyryanovsk,22,Kazakstan,1562384793,66,49.74,49.74,63.77,3.71
oytal,0,Kazakstan,1562384793,30,42.91,42.91,80.15,3.31
beyneu,0,Kazakstan,1562384793,42,45.32,45.32,81.77,16.6
kazalinsk,,Kazakstan,,,,,,
shubarkuduk,0,Kazakstan,1562384794,55,49.15,49.15,65.21,9.95
bestobe,33,Kazakstan,1562384794,36,52.5,52.5,77.99,6.62
shieli,0,Kazakstan,1562384794,21,44.18,44.18,86.99,4.03
saleaula,,Samoa,,,,,,
lufilufi,40,Samoa,1562384794,66,-13.87,-13.87,87.8,18.34
samatau,,Samoa,,,,,,
samusu,,Samoa,,,,,,
tricase,5,Italy,1562384794,78,39.93,39.93,78.01,11.41
trebisacce,0,Italy,1562384795,56,39.87,39.87,73,4.63
lethem,100,Guyana,1562384795,86,3.38,3.38,76.19,8.68
camacupa,13,Angola,1562384795,60,-12.02,-12.02,50.99,1.61
namibe,0,Angola,1562384795,78,-15.19,-15.19,68.63,3.06
soyo,38,Angola,1562384795,82,-6.13,-6.13,72.95,7.94
luena,0,Angola,1562384795,63,-11.78,-11.78,50.81,2.35
sumbe,77,Angola,1562384795,83,-11.2,-11.2,70.97,5.88
chiang klang,40,Thailand,1562384796,70,19.29,19.29,84.2,9.17
nan,40,Thailand,1562384796,70,18.78,18.78,84.2,9.17
saint-joseph,0,Reunion,1562384796,83,43.56,43.56,75.2,3.36
saint-philippe,1,Reunion,1562384796,73,45.36,45.36,79,5.82
chuy,64,Uruguay,1562384796,71,-33.69,-33.69,46.67,17.54
rio branco,90,Uruguay,1562384796,100,-9.98,-9.98,64.4,10.29
cumaribo,,Colombia,,,,,,
mitu,0,Colombia,1562384797,46,36.2,36.2,66.47,3.27
san andres,78,Colombia,1562384797,77,13.32,13.32,83.93,7.14
lagoa,0,Portugal,1562384319,82,37.14,37.14,64.4,9.17
praia da vitoria,75,Portugal,1562384797,88,38.73,38.73,64.99,10.13
ribeira grande,30,Portugal,1562384319,75,38.52,38.52,69.17,7.11
vila franca do campo,20,Portugal,1562384319,82,37.72,37.72,60.8,2.24
birao,90,Central African Republic,1562384797,86,10.3,10.3,71.51,5.59
ponta do sol,80,Cape Verde,1562384798,94,-20.63,-20.63,56.93,7.38
sao filipe,2,Cape Verde,1562384798,85,14.9,14.9,72.77,16.4
keningau,75,Malaysia,1562384798,63,5.33,5.33,91.4,5.82
maarianhamina,,Finland,,,,,,
mustasaari,90,Finland,1562384798,93,63.17,63.17,55,4.7
kristiinankaupunki,,Finland,,,,,,
salcininkai,75,Lithuania,1562384798,87,54.3,54.3,53.01,12.75
riyadh,0,Saudi Arabia,1562384799,12,24.63,24.63,84.2,4.7
umm lajj,0,Saudi Arabia,1562384799,74,25.02,25.02,83.57,12.03
turayf,0,Saudi Arabia,1562384799,46,31.68,31.68,73.4,9.17
guasdualito,20,Venezuela,1562384799,100,7.24,7.24,75.2,2.71
villa del rosario,0,Venezuela,1562384799,62,-31.55,-31.55,41,9.17
ciudad bolivar,19,Venezuela,1562384799,84,8.12,8.12,77.81,10.63
hagere hiywet,32,Ethiopia,1562384800,95,8.98,8.98,52.07,2.57
templin,0,Germany,1562384800,82,53.12,53.12,60.01,2.24
rahden,75,Germany,1562384800,93,52.43,52.43,57,2.24
idlib,0,Syrian Arab Republic,1562384800,69,35.93,35.93,79,17.22
alofi,0,Niue,1562384800,65,-19.06,-19.06,77,16.11
vila,0,Vanuatu,1562384801,88,45.18,45.18,75.99,3.36
isangel,40,Vanuatu,1562384801,58,-19.55,-19.55,82.4,17.22
manyana,90,Botswana,1562384801,67,-35.26,-35.26,64,8.05
kanye,0,Botswana,1562384801,51,-24.98,-24.98,40.01,4.65
balad,83,Iraq,1562384801,58,-6.76,-6.76,79.43,3.29
akdagmadeni,38,Turkey,1562384801,96,39.66,39.66,55.85,4.07
manavgat,0,Turkey,1562384802,33,36.79,36.79,86,9.17
airai,0,Palau,1562384603,43,-8.93,-8.93,81.05,4.83
lorengau,22,Papua New Guinea,1562384320,67,-2.02,-2.02,84.11,4.03
kieta,100,Papua New Guinea,1562384320,71,-6.22,-6.22,84.29,15.84
kandrian,35,Papua New Guinea,1562384802,69,-6.21,-6.21,83.21,9.66
kavieng,87,Papua New Guinea,1562384320,71,-2.57,-2.57,83.93,9.19
kiunga,94,Papua New Guinea,1562384802,71,-6.12,-6.12,81.41,2.13
lae,40,Papua New Guinea,1562384802,62,-6.72,-6.72,84.2,20.8
ialibu,97,Papua New Guinea,1562384803,94,-6.28,-6.28,69.53,2.66
vanimo,64,Papua New Guinea,1562384320,71,-2.67,-2.67,81.77,5.57
samarai,63,Papua New Guinea,1562384803,74,-10.62,-10.62,80.69,6.98
kimbe,39,Papua New Guinea,1562384803,63,-5.56,-5.56,88.25,2.26
halalo,,Wallis and Futuna,,,,,,
vaitupu,,Wallis and Futuna,,,,,,
jiroft,,"Iran, Islamic Republic of",,,,,,
susangerd,0,"Iran, Islamic Republic of",1562384803,30,31.56,31.56,86,4.7
masjed-e soleyman,,"Iran, Islamic Republic of",,,,,,
doha,0,Kuwait,1562384757,41,25.29,25.29,96.8,11.41
dinguiraye,100,Guinea,1562384804,96,11.29,11.29,71.33,2.37
lapas,75,Greece,1562384804,88,39.49,39.49,64.4,3.36
skhisma,0,Greece,1562384804,60,35.27,35.27,82,4.7
limon,90,Costa Rica,1562384804,43,39.26,39.26,71.01,18.34
santa cruz,0,Costa Rica,1562384645,92,-6.22,-6.22,68.27,5.06
hillsborough,90,Grenada,1562384792,93,37.57,37.57,63,7.45
soni,63,"Tanzania, United Republic of",1562384804,98,-4.85,-4.85,63.95,4.72
matongo,0,"Tanzania, United Republic of",1562384805,82,-3.07,-3.07,55.67,2.44
maposeni,0,"Tanzania, United Republic of",1562384805,85,-10.58,-10.58,55.31,2.13
madimba,75,"Tanzania, United Republic of",1562384805,100,4.42,4.42,77,2.24
asfi,,Morocco,,,,,,
tsevie,20,Togo,1562384805,94,6.43,6.43,77,6.93
bafoulabe,100,Mali,1562384805,68,13.81,13.81,79.97,14.74
nioro,88,Mali,1562384806,71,13.79,13.79,78.17,8.1
wa,,Ghana,,,,,,
axim,74,Ghana,1562384806,90,4.87,4.87,75.47,8.63
prestea,99,Ghana,1562384806,98,5.43,5.43,71.33,3.29
nam tha,,"Lao, People's Democratic Republic",,,,,,
ahtopol,0,Bulgaria,1562384806,88,42.1,42.1,66.99,5.82
cap-haitien,4,Haiti,1562384591,78,19.76,19.76,82.67,23.6
osypenko,75,Ukraine,1562384806,88,48.04,48.04,62.6,4.47
zaporizhzhya,75,Ukraine,1562384807,88,47.82,47.82,64.4,13.42
sorvag,,Faroe Islands,,,,,,
vagur,2,Faroe Islands,1562384807,83,61.47,61.47,47.39,17.58
vestmanna,100,Faroe Islands,1562384807,81,62.16,62.16,44.6,19.46
draguignan,0,France,1562384807,83,43.54,43.54,75.2,3.36
goderich,37,Sierra Leone,1562384807,86,43.74,43.74,73.99,7.76
peyima,100,Sierra Leone,1562384808,99,8.69,8.69,70.25,2.73
pujehun,100,Sierra Leone,1562384808,96,7.36,7.36,74.03,4.14
saint george,20,Bermuda,1562384350,82,39.45,39.45,75.99,2.15
hamilton,90,Bermuda,1562384121,100,43.26,43.26,80.01,5.82
tonj,,Sudan,,,,,,
ler,75,Sudan,1562384808,93,63.2,63.2,48.2,2.73
marawi,100,Sudan,1562384349,80,8,8,84,5.01
juba,75,Sudan,1562384808,100,57.82,57.82,50,9.17
barbar,,Sudan,,,,,,
juifang,,"Taiwan, Province of China",,,,,,
niquero,0,Cuba,1562384809,70,20.04,20.04,85.01,9.98
ulaangom,14,Mongolia,1562384809,38,49.98,49.98,72.59,4.14
darhan,0,Mongolia,1562384809,43,49.49,49.49,70.61,4.85
victoria,75,Seychelles,1562384571,66,5.28,5.28,89.6,4.7
kitgum,100,Uganda,1562384809,95,3.3,3.3,67.01,3
tete,40,Mozambique,1562384809,93,-16.16,-16.16,51.8,3.36
quelimane,0,Mozambique,1562384809,95,-17.88,-17.88,59.63,2.91
skibbereen,40,Ireland,1562384810,87,51.55,51.55,55.4,10.29
cayenne,90,French Guiana,1562384661,100,4.94,4.94,73.4,3.27
aswan,0,Egypt,1562384810,20,24.09,24.09,78.35,8.39
safaga,,Egypt,,,,,,
metapan,0,El Salvador,1562384705,1,14.33,14.33,75,5.99
alice town,76,Bahamas,1562384810,74,25.72,25.72,83.93,9.57
dunmore town,3,Bahamas,1562384810,79,25.5,25.5,82.85,14.94
road town,90,"Virgin Islands, British",1562384785,74,18.42,18.42,82.99,11.41
barahona,0,Dominican Republic,1562384811,76,18.21,18.21,75.11,3.24
bandraboua,75,Mayotte,1562384811,88,-12.7,-12.7,78.8,12.75
the valley,40,Anguilla,1562384811,69,18.22,18.22,82.4,14.99
tchollire,100,Cameroon,1562384811,94,8.4,8.4,72.77,2.39
miquelon,100,Saint Pierre and Miquelon,1562384811,79,47.1,47.1,54.77,12.88
hwange,0,Zimbabwe,1562384811,40,-18.35,-18.35,49.01,3.67
belize,,Belize,,,,,,
artyom,90,Azerbaijan,1562384812,93,43.36,43.36,60.8,8.95
durres,0,Albania,1562384812,88,41.32,41.32,69.8,2.24
codrington,75,Antigua and Barbuda,1562384812,68,-28.95,-28.95,68,11.41
